dropoff_longitude,pickup_longitude,pickup_latitude,dropoff_latitude
-74.00550799999999,-73.988297,40.727837,40.739166
-73.95300300000001,-73.965408,40.790764,40.786114000000005
-73.98236800000001,-73.97094,40.751736,40.773281
-73.99200400000001,-73.98129300000001,40.761879,40.748901000000004
-73.979065,-73.980591,40.774761,40.778507
-73.983253,-73.983368,40.742153,40.750423
-73.96968100000001,-73.986046,40.746311,40.753822
-73.90284,-73.991478,40.754616,40.735640999999994
-73.990219,-73.98191800000001,40.746826,40.735043
-73.971008,-73.99748199999999,40.721222,40.75547
-73.953499,-73.86367,40.770538,40.770988
-73.95365100000001,-73.97281600000001,40.758949,40.788143
-73.987534,-73.96416500000001,40.774433,40.722607
-73.956696,-73.94799,40.774978999999995,40.769073
-73.983772,-73.98363499999999,40.774547999999996,40.760124
-73.984116,-74.007355,40.740837,40.773540000000004
-73.99477399999999,-73.995453,40.736851,40.764229
-73.981483,-73.995621,40.725246000000006,40.732979
-73.96125,-73.962189,40.75592,40.76088
-73.987785,-73.976608,40.752117,40.756359
-73.976913,-74.005379,40.727818,40.790668
-73.95683299999999,-73.96524000000001,40.772171,40.783745
-73.987297,-73.977951,40.752407,40.751492
-73.995705,-73.953346,40.764835,40.732975
-73.991203,-73.790581,40.648911,40.745216
-73.97747,-73.989891,40.729355,40.72348
-74.001678,-74.008476,40.720936,40.740906
-73.9758,-73.974876,40.763523,40.753334
-73.944519,-73.949005,40.773674,40.808289
-73.954514,-73.95360600000001,40.790852,40.781738
-74.0103,-73.989761,40.760483,40.720058
-73.96015899999999,-73.976692,40.790123,40.798092
-74.005638,-73.945137,40.783382,40.740165999999995
-73.985504,-73.9804,40.765018,40.757678999999996
-73.985786,-73.98603100000001,40.756465999999996,40.728653
-73.975723,-73.98162099999999,40.779171000000005,40.786877000000004
-73.95193499999999,-73.977531,40.76313,40.773567
-73.98249100000001,-74.00700400000001,40.741776,40.745697
-74.00341800000001,-73.954201,40.764202000000004,40.740134999999995
-73.964424,-73.974899,40.741886,40.764111
-73.990791,-73.995735,40.767834,40.750748
-73.989029,-73.99098199999999,40.73328,40.736568
-74.010201,-74.01368000000001,40.715590999999996,40.718533
-73.973869,-73.966637,40.767368,40.783058000000004
-73.987564,-73.976433,40.780781,40.765434
-73.990372,-73.99284399999999,40.747955,40.765736
-73.968681,-73.98090400000001,40.760883,40.759803999999995
-73.97835500000001,-74.008064,40.723278,40.729034000000006
-73.982475,-73.970749,40.762108000000005,40.771557
-73.990326,-73.994804,40.740241999999995,40.744324
-73.980942,-73.974625,40.778046,40.780903
-73.986908,-73.980164,40.743072999999995,40.749619
-73.988075,-73.986359,40.752583,40.760174
-73.983078,-73.99108100000001,40.736179,40.773384
-73.973671,-73.968864,40.761348999999996,40.756306
-73.99192,-73.987732,40.736031,40.749802
-73.993149,-73.985664,40.738537,40.727062
-73.984962,-73.976646,40.750408,40.730595
-73.978706,-73.954376,40.764328000000006,40.766647
-73.995987,-73.99166899999999,40.731201,40.696888
-73.99951899999999,-73.984016,40.725357,40.74102
-73.952766,-73.98658,40.740021,40.786282
-73.973907,-74.000404,40.721336,40.751675
-73.954269,-73.981888,40.764332,40.780731
-73.99284399999999,-74.008003,40.723296999999995,40.723717
-74.00782,-73.991737,40.738533000000004,40.751616999999996
-73.98204799999999,-73.966507,40.756561,40.773823
-73.975624,-73.988068,40.754009,40.757979999999996
-73.975662,-73.98957800000001,40.769512,40.786934
-73.988106,-73.982231,40.759003,40.747074
-73.961143,-73.97620400000001,40.7887,40.796806
-73.965721,-73.95229300000001,40.777031,40.758888
-73.980019,-73.983559,40.721336,40.715595
-73.99295,-74.002037,40.729557,40.724194
-73.99189799999999,-74.005219,40.720745,40.697159
-73.954636,-73.973022,40.758666999999996,40.770596000000005
-73.962891,-73.97663100000001,40.755589,40.758362
-74.00304399999999,-73.988434,40.740971,40.747196
-73.95530699999999,-73.976212,40.759514,40.785786
-73.984909,-73.99610899999999,40.723488,40.728069
-73.962463,-73.985764,40.762115,40.770607
-73.981468,-74.00814100000001,40.723206,40.749638
-73.931175,-73.974663,40.790775,40.759342
-73.97374,-73.961884,40.773903000000004,40.763725
-73.965469,-73.981903,40.771392999999996,40.766129
-73.990608,-73.999725,40.725231,40.731106
-73.994972,-73.975853,40.751652,40.745132
-74.007622,-73.87086500000001,40.773708,40.740875
-73.988495,-73.98436,40.761654,40.741001000000004
-73.979774,-73.979248,40.75074,40.739437
